Week,Open.Price,High.Price,Low.Price,Close.Price,Average.No.of.Shares,No..of.Trades,Total.Turnover..Rs..,Spread.High.Low,Spread.Close.Open,WAP
56,211.6,216.17,207.7,211.34,458031,3826,97330690.8,8.47,-0.26,212.5
57,216.33,223.1,213.24,218.89,931503,5217.2,210701783,9.86,2.56,226.2
58,246.66,255.62,241.65,244.96,1910381,11298.8,475751075.6,13.97,-1.7,249.03
59,246.84,251.81,241.85,244.46,1294243,8228.6,320462100.6,9.96,-2.38,247.61
60,247.19,253.34,242.99,248.15,1356089,8672.4,340429098.2,10.35,0.96,251.04
61,237.28,242.5,228,232.1,2070145,11542.2,499246490,14.5,-5.18,241.16
62,231.65,233.69,228.05,230.43,369013,3250.4,85362607.8,5.64,-1.22,231.33
63,233.4,234.78,229.78,231.55,236625,2088.2,55038913.4,5,-1.85,232.6
64,227.41,228.37,221.51,223.47,191255,1885.6,42869570.2,6.86,-3.94,224.15
65,231.45,237.17,228.62,232.74,433783,3902,101317920.8,8.55,1.29,233.57
66,238.75,243.57,237.09,239.37,554421,4610,133507776,6.48,0.62,240.81
67,241.69,243.66,238.65,240.23,234953,2191,56703173.4,5.01,-1.46,241.34
68,237.08,240.06,235.41,236.37,237682,2321.2,56760500.6,4.65,-0.71,238.81
69,231.81,232.87,226.72,228.01,210455,2165.2,48453805.6,6.15,-3.8,230.23
70,231.57,233.68,230.17,231.07,90392,980.6,20971463.2,3.51,-0.5,232.01
71,225.4,227.37,220.82,223.08,132746,1348.8,29637671.4,6.55,-2.32,223.27
72,219.46,222.62,216.2,220.43,161819,1441.4,35391313.8,6.42,0.97,218.71
73,221.44,223.03,219.07,220.43,113407,1158.6,25030356.8,3.96,-1.01,220.71
74,227.95,230.78,225.35,228.93,195254,1906,44915648.8,5.43,0.98,230.04
75,243.47,249.52,241.03,244.22,486546,3882.2,120243662.8,8.49,0.75,247.14
76,244.35,246.97,238.15,240.61,577441,4685.2,140347178.4,8.82,-3.74,243.05
77,236.91,239.33,235.31,237.54,142861,1426.8,33898000.6,4.02,0.63,237.28
78,241.84,243.02,240.09,240.89,89126,835.6,21530437.8,2.93,-0.95,241.57
